V_L,V_R,velocity,acc,omega,alpha
0.000000,-2.442600,-1.032400,-26.893000,-0.207694,-191.000106
-2.441800,-2.441800,-1.123900,-27.270000,-0.123918,-10.026917
1.244200,0.592400,-0.718800,-0.377000,-0.776672,-6.876597
2.445600,2.445600,-0.339800,25.762000,-1.174607,-130.096842
2.442600,2.442600,-0.261300,-26.516000,-0.535816,50.501102
2.441000,2.441000,-0.104500,12.881000,-0.080285,6.571165
2.439600,2.439600,0.039200,-26.139000,0.013963,18.317230
2.434200,2.434200,0.169900,0.000000,0.013963,15.446164
2.440200,2.440200,0.313600,-12.881000,0.092502,11.484266
0.000000,0.415200,0.026100,0.000000,0.073304,-16.877334
1.714400,1.478000,0.052200,26.139000,0.129154,9.302605
2.451000,2.415600,0.091400,-26.139000,0.020944,12.644910
2.444800,2.444800,0.196000,-12.881000,0.083776,-27.122417
2.441000,2.441000,0.365900,13.258000,0.026180,15.009832
2.439600,2.439600,0.444300,13.258000,0.094248,-58.913589
2.440200,2.440200,0.575000,0.377000,0.198968,-29.967303
2.439600,2.439600,0.653400,-25.762000,0.144862,-119.668500
2.439600,2.439600,0.810300,-25.762000,0.183260,48.502700
-2.444800,-2.444800,0.470500,0.377000,0.308923,-65.598200
-2.435000,-2.435000,0.235200,13.258000,0.874410,-15.132005
-2.439600,0.000000,0.052200,-12.881000,1.062906,-23.745204
-2.438800,0.000000,-0.052200,0.000000,-0.345575,-43.153266
-2.432600,-2.432600,-0.196000,-26.139000,-0.223402,-30.822515
-2.438000,0.000000,-0.287500,-26.516000,-0.263545,-5.698500
-2.436400,0.000000,-0.418200,25.762000,-0.287979,60.938171
-2.432600,-2.432600,-0.535800,-26.516000,-0.408407,44.933502
-2.435000,-2.435000,-0.575000,-13.635000,-0.352557,-31.171580
-2.444000,0.000000,-0.836400,12.504000,-0.279253,40.020400
-2.451000,0.000000,-0.862500,25.762000,2.438225,-8.037241
0.473200,0.000000,-0.744900,-13.635000,-0.279253,-10.122910
2.450200,1.295800,-0.535800,12.504000,-2.469641,-189.743469
2.447200,2.176600,-0.235200,-0.754000,-3.649483,13.596115
2.437200,2.437200,-0.209100,26.139000,-3.017674,37.734018
2.437200,2.437200,-0.013000,-13.258000,-2.256711,64.917521
2.435000,2.435000,0.078400,-26.139000,0.308923,-3.028146
2.435800,2.435800,0.209100,26.516000,0.034907,56.627208
2.436400,2.436400,0.352800,-12.881000,0.062832,15.193091
2.435000,2.435000,0.405100,-12.881000,0.061087,-13.997541
2.435800,2.435800,0.601100,-26.139000,0.150098,-53.537975
2.438000,2.438000,0.692600,-12.504000,0.033161,112.791903
0.000000,0.940000,0.758000,-12.881000,-0.048869,39.514254
-1.536600,0.000000,0.483500,26.516000,1.146681,83.348198
-2.444000,-2.444000,0.287500,-12.881000,1.804670,-104.920468
-2.438000,-2.438000,0.078400,-26.139000,2.042035,-28.379054
0.000000,-2.436400,-0.039200,-13.258000,0.190241,-150.552101
0.000000,-2.428800,-0.169900,-13.258000,-0.198968,-6.466445
-2.435800,-2.435800,-0.313600,26.139000,-0.310669,24.748769
-2.437200,-2.437200,-0.365900,-0.377000,-0.356047,10.061823
-2.438000,-2.438000,-0.522700,-26.516000,-0.294961,11.170107
0.000000,2.436400,-0.483500,25.762000,-3.045600,-219.719499
0.768200,0.650000,-0.078400,0.000000,-0.075049,3.080506
2.438800,2.438800,0.078400,0.000000,0.047124,21.423917
2.432600,2.432600,0.209100,0.000000,0.127409,28.605946
2.436400,2.436400,0.339800,13.258000,0.066323,8.456120
2.436400,2.436400,0.431200,-26.139000,0.108210,-60.868358
2.109800,2.438000,0.561900,-25.762000,0.614356,63.809237
0.000000,2.445600,0.588100,-12.881000,0.972148,72.431164
0.000000,2.445600,0.718800,-25.762000,3.687881,-174.140226
-2.445600,1.646000,0.509700,-25.762000,5.729916,242.705486
-0.710200,0.000000,0.405100,-26.139000,0.164061,38.021998
-0.709600,0.000000,0.313600,-12.881000,0.446804,-42.210788
-2.451800,-2.451800,0.235200,-12.881000,0.305433,153.458074
0.000000,-2.434200,0.065300,0.000000,0.617847,-83.252205
-2.437200,-2.437200,-0.065300,26.139000,-0.212930,-36.477381
-2.430400,-2.430400,-0.182900,-26.516000,-0.104720,30.822515
-2.438800,-2.438800,-0.300500,0.000000,-0.274017,-30.333822
-2.435800,0.000000,-0.431200,-0.377000,-0.293215,11.676253
-2.435800,-2.435800,-0.535800,-13.258000,-0.432842,54.951691
-2.435800,-2.435800,-0.640400,25.762000,-0.490438,34.382986
-2.435800,0.000000,-0.797200,-13.635000,-0.382227,138.858395
2.439600,2.439600,-0.196000,-13.258000,-0.296706,-43.825217
2.435800,2.435800,-0.013000,-26.139000,-0.026180,-9.337511
2.433400,2.433400,0.104500,-26.139000,0.155334,-16.589355
2.437200,2.437200,0.248300,13.258000,0.000000,-16.406095
2.432600,2.432600,0.365900,-12.881000,0.064577,49.375364
2.435000,2.435000,0.483500,13.259000,0.034907,37.393679
2.435000,2.435000,0.601100,-26.139000,0.141372,17.933258
2.435800,2.435800,0.744900,-12.881000,0.085521,-6.806784
2.436400,2.436400,0.771100,-12.504000,-0.048869,95.050631
2.435800,2.435800,0.888700,-12.881000,0.120428,75.171331
2.435000,0.000000,0.980200,-12.503000,-0.089012,78.635809
2.433400,2.433400,1.110900,-12.504000,0.279253,-128.159527
2.428000,2.428000,1.097800,-12.127000,0.043633,22.122048
0.000000,2.444000,1.215400,-25.762000,1.492257,86.646871
-0.591600,0.000000,0.941000,-25.385000,0.368264,86.952303
-2.459400,-0.886800,0.954000,26.893000,0.734784,85.512407
-2.442600,-2.442600,0.692600,-25.385000,5.136504,51.338860
-2.428800,-2.428800,0.418200,-25.762000,5.145231,-13.936454
-2.435000,-2.435000,0.313600,-12.881000,7.115707,204.212249
-2.425800,-2.425800,0.104500,13.258000,6.857399,-2.696534
-2.434200,-2.434200,-0.039200,0.000000,2.741912,-169.794356
-2.434200,-2.434200,-0.130600,26.139000,-0.172788,-34.077554
-2.425800,-2.425800,-0.287500,-26.139000,-0.310669,9.625491
-2.434200,0.000000,-0.339800,-13.635000,-0.190241,-67.570422
-2.432000,-2.432000,-0.509700,-13.258000,-0.301942,-28.806659
-2.431200,-2.431200,-0.575000,26.139000,-0.324631,-68.844512
-2.425000,-2.425000,-0.692600,-0.377000,-0.368264,80.241512
-2.432600,-2.432600,-0.823300,12.504000,-0.394444,63.163466
0.000000,-2.443400,-0.862500,-26.893000,-2.195624,-36.032322
0.000000,0.470400,-0.849500,-0.377000,-1.925098,-40.072760
2.448600,1.648200,-0.026100,12.881000,-3.529056,-98.611103
2.432600,2.432600,0.771100,-26.138000,-7.979645,-59.271381
2.432600,2.432600,0.117600,13.258000,-4.382522,270.910006
2.428000,2.428000,0.470500,-25.008000,-3.476696,285.893658
2.425000,2.425000,0.653400,-25.385000,-3.839724,-201.044476
2.423600,2.423600,0.326700,0.000000,-3.195698,-189.280957
2.428000,2.428000,0.392000,26.516000,-2.171190,-55.056411
2.428800,2.428800,0.483500,-12.504000,-0.642281,-164.540915
2.428800,2.428800,0.457400,-12.881000,0.143117,-225.208560
2.430400,2.430400,0.575000,26.893000,0.200713,-2.382374
2.431200,2.431200,0.705700,13.635000,0.027925,-76.558868
2.429600,2.429600,0.810300,13.635000,0.068068,26.895524
2.430400,2.430400,0.901700,26.893000,-0.019199,40.980331
2.429600,2.429600,1.241600,0.754000,0.141372,51.679199
2.422800,2.422800,0.980200,-25.385000,-0.122173,-160.334672
2.428800,2.428800,1.110900,1.508000,0.378736,-26.476645
0.000000,2.444000,1.202300,13.635000,5.710717,160.448118
-2.433400,-2.433400,0.627300,-25.385000,2.539454,-184.036243
-2.431200,-2.431200,0.483500,-25.762000,4.377286,-20.280726
-2.430400,-2.430400,0.274400,26.516000,5.057964,15.899949
-2.429600,-2.429600,0.091400,13.258000,4.782202,-74.647732
-2.429600,-2.429600,-0.052200,0.000000,1.527163,-129.520884
-2.428800,-2.428800,-0.169900,-13.258000,-0.305433,3.010693
-2.428800,-2.428800,-0.300500,12.881000,-0.275762,61.723569
-2.422800,-2.422800,-0.365900,12.881000,-0.314159,15.830136
1.809400,-2.428000,-0.418200,25.762000,-3.551745,-184.917634
-0.768000,0.000000,-0.091400,-26.139000,-0.054105,30.002210
-2.436400,-2.436400,-0.182900,12.881000,-0.232129,36.241762
-2.433400,-2.433400,-0.326700,26.139000,-0.167552,-9.546951
-2.423600,-2.423600,-0.365900,-13.635000,-0.446804,91.376713
-2.422800,-2.422800,-0.522700,25.762000,-0.586431,124.302349
-2.430400,-2.430400,-0.679600,-26.516000,-0.383972,47.909288
-2.428000,-2.428000,-0.653400,-14.012000,-0.439823,-60.545472
