1.4626,1.8796,0.2091,-12.881,90,0,0.2085
1.4346,1.727,0.2613,0,90,0,0.1462
1.3228,2.0016,0.2744,-13.258,90,0,0.3394
0.5056,1.5334,0.3005,26.139,90,0,0.5139
-1.0522,1.1548,0.2875,26.139,90,0,1.1035
-1.2454,1.2172,0.2483,-26.139,90,0,1.2313
-0.988,1.8098,0.2091,13.258,90,0,1.3989
-0.9494,2.0626,0.2483,-13.258,90,0,1.506
-1.0394,1.9778,0.2483,26.139,90,0,1.5086
-0.7722,2.1414,0.2221,0,90,0,1.4568
-0.846,1.9788,0.2352,0,90,0,1.4124
-0.681,2.0472,0.2352,26.139,90,0,1.3641
-0.633,2.1728,0.2352,-13.258,90,0,1.4029
-0.8012,1.9518,0.2352,26.139,90,0,1.3765
-0.8736,1.9058,0.2352,26.139,90,0,1.3897
-0.861,1.946,0.2483,-13.258,90,0,1.4035
-0.6454,2.0052,0.2483,12.881,90,0,1.3253
-0.7354,1.8672,0.2352,26.139,90,0,1.3013
-0.688,1.9728,0.2483,-13.258,90,0,1.3304
-0.4076,2.19,0.2221,26.139,90,0,1.2988
-0.5138,2.0468,0.2613,12.881,90,0,1.2803
-0.7682,1.8946,0.2613,-13.258,90,0,1.3314
-0.698,2.0144,0.2221,26.139,90,0,1.3562
-0.6852,2.0104,0.2352,26.139,90,0,1.3478
-0.599,2.0524,0.2483,-13.258,90,0,1.3257
-0.929,1.7234,0.2483,26.139,90,0,1.3262
-0.188,2.4074,0.2483,25.762,90,0,1.2977
-0.7572,1.706,0.2483,26.139,90,0,1.2316
-0.3536,2.0578,0.2744,-0.377,90,0,1.2057
-0.3062,2.1378,0.2352,-13.258,90,0,1.222
-0.7026,1.786,0.2483,0,90,0,1.2443
-0.5816,1.8676,0.2483,26.139,90,0,1.2246
-0.6028,1.9168,0.2352,26.139,90,0,1.2598
-0.5218,1.9236,0.2221,26.139,90,0,1.2227
-0.6048,1.9306,0.2744,-0.377,90,0,1.2677
-0.823,1.774,0.2483,-13.258,90,0,1.2985
-0.9096,1.689,0.2483,26.139,90,0,1.2993
