1.322,1.6334,0.0261,-26.139,0.1,0,,,0.1,1.322,1.6334
1.5098,1.2688,0.0784,26.139,0.1,0,,,0.1,1.5098,1.2688
1.3844,1.1154,0.0914,26.139,0.1,0,,,0.1,1.3844,1.1154
1.291,1.0172,0.1045,26.139,0.1,0,,,0.1,1.291,1.0172
1.5072,1.167,0.1045,-13.258,0.1,0,,,0.1,1.5072,1.167
0.9996,0.6294,0.0914,13.258,0.1,0,,,0.1,0.9996,0.6294
1.219,0.761,0.1045,0,0.1,0,,,0.1,1.219,0.761
1.1442,0.8004,0.1176,26.139,0.1,0,,,0.1,1.1442,0.8004
0.9882,0.5982,0.1045,-26.139,0.1,0,,,0.1,0.9882,0.5982
1.1832,0.7206,0.1045,0,0.1,0,,,0.1,1.1832,0.7206
1.3528,0.8598,0.1045,26.139,0.1,0,,,0.1,1.3528,0.8598
1.1972,0.6772,0.1045,0,0.1,0,,,0.1,1.1972,0.6772
1.4046,0.8074,0.0914,0,0.1,0,,,0.1,1.4046,0.8074
1.4354,0.8274,0.0914,0,0.1,0,,,0.1,1.4354,0.8274
1.8988,1.0856,0.0914,-13.258,0.1,0,,,0.1,1.8988,1.0856
1.7244,0.9284,0.1045,-13.258,0.1,0,,,0.1,1.7244,0.9284
1.7166,0.9896,0.0914,26.139,0.1,0,,,0.1,1.7166,0.9896
1.6454,0.7598,0.0914,0,0.1,0,,,0.1,1.6454,0.7598
1.6288,0.7654,0.1045,26.139,0.1,0,,,0.1,1.6288,0.7654
1.3798,0.6314,0.1045,0,0.1,0,,,0.1,1.3798,0.6314
1.5284,0.783,0.1306,12.881,0.1,0,,,0.1,1.5284,0.783
1.2954,0.6166,0.1176,26.139,0.1,0,,,0.1,1.2954,0.6166
1.0664,0.4522,0.1176,0,0.1,0,,,0.1,1.0664,0.4522
1.017,0.4542,0.1176,0,0.1,0,,,0.1,1.017,0.4542
1.5092,0.9356,0.1306,-26.516,0.1,0,,,0.1,1.5092,0.9356
1.1576,0.5616,0.0914,-26.139,0.1,0,,,0.1,1.1576,0.5616
1.0222,0.6518,0.1176,26.139,0.1,0,,,0.1,1.0222,0.6518
0.7618,0.54,0.1045,-26.139,0.1,0,,,0.1,0.7618,0.54
0.9026,0.71,0.1176,26.139,0.1,0,,,0.1,0.9026,0.71
0.7302,0.5158,0.1045,-26.139,0.1,0,,,0.1,0.7302,0.5158
0.9266,0.6526,0.0914,-26.139,0.1,0,,,0.1,0.9266,0.6526
0.9166,0.6654,0.0914,-26.139,0.1,0,,,0.1,0.9166,0.6654
0.9814,0.6366,0.0784,13.258,0.1,0,,,0.1,0.9814,0.6366
0.9144,0.7172,0.1045,0,0.1,0,,,0.1,0.9144,0.7172
1.4804,1.2022,0.1045,12.881,0.1,0,,,0.1,1.4804,1.2022
1.2966,1.0816,0.0914,26.139,0.1,0,,,0.1,1.2966,1.0816
1.3568,1.0384,0.1045,-13.258,0.1,0,,,0.1,1.3568,1.0384
1.1788,0.903,0.1176,-13.258,0.1,0,,,0.1,1.1788,0.903
1.1822,0.9196,0.1045,26.139,0.1,0,,,0.1,1.1822,0.9196
1.165,0.9424,0.0914,0,0.1,0,,,0.1,1.165,0.9424
