0.044000, 40, 49
0.044000, 40, 49
0.044000, 39, 50
0.044000, 39, 49
0.152000, 41, 50
0.152000, 39, 49
0.152000, 38, 49
0.152000, 38, 48
0.151000, 40, 51
0.150000, 42, 51
0.149000, 43, 55
0.148000, 47, 56
0.147000, 48, 59
0.142000, 57, 68
0.141000, 66, 73
0.139000, 66, 77
0.138000, 71, 80
0.136000, 77, 86
0.135000, 82, 91
0.133000, 86, 97
0.132000, 91, 101
0.130000, 99, 107
0.129000, 102, 116
0.127000, 109, 120
0.126000, 116, 126
0.124000, 123, 136
0.119000, 148, 158
0.118000, 155, 167
0.117000, 164, 177
0.115000, 176, 188
0.114000, 186, 198
0.112000, 195, 210
0.110000, 206, 220
0.109000, 223, 236
0.107000, 235, 248
0.106000, 246, 261
0.104000, 263, 276
0.103000, 278, 290
0.101000, 296, 307
0.100000, 314, 321
0.098000, 333, 340
0.097000, 353, 357
0.095000, 382, 378
0.094000, 396, 393
0.092000, 421, 415
0.091000, 443, 436
0.087000, 531, 508
0.085000, 563, 537
0.084000, 598, 565
0.082000, 637, 601
0.081000, 680, 634
0.079000, 726, 672
0.078000, 782, 711
0.076000, 836, 753
0.075000, 897, 799
0.073000, 965, 849
0.072000, 1039, 904
0.070000, 1122, 960
0.068000, 1209, 1023
0.067000, 1308, 1088
0.066000, 1412, 1160
0.064000, 1532, 1238
0.063000, 1664, 1325
0.058000, 2154, 1654
0.057000, 2346, 1786
0.055000, 2558, 1923
0.054000, 2773, 2065
0.052000, 3003, 2213
0.051000, 3220, 2369
0.049000, 3322, 2532
0.047000, 3384, 2688
0.046000, 3429, 2826
0.044000, 3464, 2918
0.043000, 3486, 2923
0.043000, 3491, 2870
0.043000, 3487, 2884
0.043000, 3489, 2887
0.043000, 3488, 2884
0.043000, 3487, 2886
0.043000, 3488, 2886
0.043000, 3487, 2886
0.043000, 3488, 2887
0.043000, 3487, 2886
0.043000, 3488, 2888
0.043000, 3488, 2887
0.043000, 3488, 2886
0.043000, 3488, 2889
0.043000, 3487, 2887
0.043000, 3488, 2887
0.043000, 3489, 2890
0.043000, 3488, 2888
0.043000, 3488, 2888
0.043000, 3488, 2886
