0.107000, 41, 50
0.107000, 40, 51
0.107000, 40, 52
0.107000, 41, 51
0.107000, 40, 50
0.152000, 42, 51
0.152000, 41, 50
0.152000, 40, 50
0.152000, 40, 49
0.152000, 42, 52
0.151000, 42, 53
0.150000, 45, 56
0.148000, 48, 57
0.147000, 49, 61
0.146000, 56, 64
0.144000, 56, 68
0.143000, 60, 71
0.141000, 67, 76
0.136000, 78, 92
0.132000, 94, 108
0.130000, 100, 113
0.129000, 109, 121
0.124000, 125, 138
0.123000, 133, 149
0.121000, 140, 155
0.120000, 149, 166
0.118000, 161, 174
0.117000, 170, 186
0.115000, 180, 196
0.114000, 190, 205
0.112000, 199, 221
0.111000, 212, 229
0.109000, 232, 246
0.108000, 241, 257
0.106000, 252, 272
0.105000, 269, 287
0.103000, 283, 303
0.102000, 299, 321
0.100000, 316, 336
0.099000, 334, 356
0.097000, 352, 372
0.093000, 418, 433
0.091000, 445, 456
0.090000, 473, 482
0.088000, 500, 510
0.087000, 533, 539
0.085000, 564, 570
0.084000, 601, 601
0.082000, 641, 640
0.081000, 686, 680
0.079000, 732, 723
0.078000, 782, 772
0.076000, 841, 823
0.075000, 898, 879
0.073000, 965, 937
0.072000, 1036, 1001
0.070000, 1109, 1066
0.069000, 1195, 1143
0.064000, 1529, 1419
0.060000, 1962, 1769
0.058000, 2134, 1909
0.057000, 2331, 2062
0.055000, 2547, 2235
0.054000, 2788, 2423
0.049000, 3324, 3018
0.048000, 3381, 3158
0.046000, 3424, 3224
0.045000, 3462, 3255
0.044000, 3485, 3257
0.043000, 3500, 3244
0.043000, 3506, 3235
0.043000, 3500, 3246
0.043000, 3504, 3242
0.043000, 3501, 3242
0.043000, 3503, 3243
0.043000, 3502, 3243
0.043000, 3502, 3242
0.043000, 3503, 3242
0.043000, 3502, 3242
0.043000, 3504, 3243
0.043000, 3503, 3242
0.043000, 3501, 3243
0.043000, 3502, 3242
0.043000, 3501, 3242
0.043000, 3502, 3243
0.043000, 3502, 3242
0.043000, 3503, 3243
0.043000, 3502, 3243
0.043000, 3503, 3243
0.043000, 3502, 3243
0.043000, 3502, 3243
0.043000, 3502, 3243
0.043000, 3503, 3243
0.043000, 3504, 3243
0.043000, 3503, 3243
0.043000, 3502, 3242
0.043000, 3502, 3243
